image_path,split,num_boxes,risk_reason
D:\project_root\data\processed\images\all\img_07_425390900_00053.jpg,test,11,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_4405230800_01128.jpg,val,10,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_3402617100_00124.jpg,train,10,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00059.jpg,train,8,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00080.jpg,train,8,many_boxes_in_image
D:\project_root\data\processed\images\all\img_04_436163100_00006.jpg,test,7,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425391700_00039.jpg,train,7,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_4402625300_00104.jpg,train,7,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00052.jpg,train,7,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00054.jpg,train,7,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00074.jpg,train,7,many_boxes_in_image
D:\project_root\data\processed\images\all\img_01_4402270500_00003.jpg,test,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_425507200_01502.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_431854300_00002.jpg,val,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00005.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00523.jpg,val,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00543.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00578.jpg,test,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_4402724500_01242.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_SIS001546_00031.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_04_431854200_00007.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01406.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01407.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425508300_00930.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425613600_00581.jpg,val,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_4402625300_00109.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00057.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00071.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00081.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00086.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00087.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_08_425508200_00359.jpg,val,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_08_425508200_00361.jpg,train,6,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_425507200_01503.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_425507200_01504.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_425507200_01512.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_435974400_00004.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_3403393800_01156.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425501700_00018.jpg,test,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425508400_00380.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_SIS001577_00019.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_04_SIS001577_00038.jpg,val,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01402.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01403.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01404.jpg,val,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01405.jpg,val,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01408.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01409.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01410.jpg,val,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_4402625300_01263.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00056.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00062.jpg,test,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00065.jpg,val,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00077.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00083.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_08_425508200_00364.jpg,val,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_08_425508200_00402.jpg,train,5,many_boxes_in_image
D:\project_root\data\processed\images\all\img_01_425637800_00891.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_3436787300_00007.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_425507200_01509.jpg,test,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_425507200_01513.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_436068400_00001.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_4402818600_00001.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_4403955000_00001.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_SIS001522_00012.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_SIS001522_00031.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_02_SIS001540_00105.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_3403393700_00942.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_3403402800_00951.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_424714400_00001.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425004200_00987.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425390000_00022.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425501800_00018.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425505400_01033.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_425644600_00001.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00524.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00526.jpg,test,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436152900_00557.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_436184600_00800.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_4402117000_00003.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_4404580600_00513.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_4406425000_00001.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_4406562900_00002.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_03_SIS001546_00029.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_04_436163100_00005.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_04_SIS001577_00040.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_3436814300_00050.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425237000_00528.jpg,test,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425502300_01400.jpg,test,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425508300_00928.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_425614700_00001.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_4402625300_01262.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_06_4406562900_00002.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00055.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00061.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00069.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00075.jpg,test,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425390900_00111.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425508300_00926.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_425508400_00969.jpg,test,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_4402625300_00104.jpg,val,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_07_4406562900_00008.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_08_425508200_00375.jpg,train,4,many_boxes_in_image
D:\project_root\data\processed\images\all\img_08_425508200_00403.jpg,train,4,many_boxes_in_image
