split_a,image_name_a,image_path_a,split_b,image_name_b,image_path_b,phash_a,phash_b,hamming_distance
train,img_01_425005700_00309.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00309.jpg,val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,87f87807837887f8,87f87807837887f8,0
train,img_01_425502600_00017.jpg,D:\project_root\data\processed\images\train\img_01_425502600_00017.jpg,test,img_01_425609500_00746.jpg,D:\project_root\data\processed\images\test\img_01_425609500_00746.jpg,993367cc8c339333,993366cc8c3393b3,2
train,img_05_425502700_00052.jpg,D:\project_root\data\processed\images\train\img_05_425502700_00052.jpg,test,img_01_425383400_01036.jpg,D:\project_root\data\processed\images\test\img_01_425383400_01036.jpg,9993666c33b398d8,9993666c33b3989c,2
train,img_08_425008500_00873.jpg,D:\project_root\data\processed\images\train\img_08_425008500_00873.jpg,test,img_08_425008000_00823.jpg,D:\project_root\data\processed\images\test\img_08_425008000_00823.jpg,cd993266d991cc99,cd993266d999cc89,2
train,img_01_424826800_00002.jpg,D:\project_root\data\processed\images\train\img_01_424826800_00002.jpg,val,img_01_436067700_00689.jpg,D:\project_root\data\processed\images\val\img_01_436067700_00689.jpg,b66d4992922db46d,b66d4992926da46d,2
train,img_01_425005700_00321.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00321.jpg,val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,87f8780383f887f8,87f87807837887f8,2
train,img_01_425005700_00327.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00327.jpg,val,img_01_425005700_00497.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00497.jpg,87f8780587f087f8,87f87801c7f087f8,2
train,img_01_425005700_00503.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00503.jpg,val,img_01_425005700_00497.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00497.jpg,87f87803c3f087f8,87f87801c7f087f8,2
train,img_01_425005700_00555.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00555.jpg,val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,87f8780783d887f8,87f87807837887f8,2
train,img_05_4406645900_00040.jpg,D:\project_root\data\processed\images\train\img_05_4406645900_00040.jpg,val,img_05_4406645900_00043.jpg,D:\project_root\data\processed\images\val\img_05_4406645900_00043.jpg,aa5555aaaa55aaac,aa5555aaaa55aaa9,2
train,img_05_4406645900_00044.jpg,D:\project_root\data\processed\images\train\img_05_4406645900_00044.jpg,val,img_05_4406645900_00121.jpg,D:\project_root\data\processed\images\val\img_05_4406645900_00121.jpg,aaab5554aaafaaa0,aaab5554aaabaaa1,2
train,img_05_4406743300_00427.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00427.jpg,val,img_05_4406743300_00384.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00384.jpg,98666799996e9865,9866679999669867,2
val,img_05_4406743300_00435.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00435.jpg,test,img_05_4406743300_00416.jpg,D:\project_root\data\processed\images\test\img_05_4406743300_00416.jpg,989967669d999866,9899676699999876,2
