filename_prefix,test,train,val,total,num_splits_present
img_01_425005700,12,101,20,133,3
img_07_4406645900,7,59,12,78,3
img_08_4406743300,10,43,12,65,3
img_05_4406743300,5,36,14,55,3
img_02_436153600,4,23,6,33,3
img_01_4406743300,2,24,6,32,3
img_02_3436813700,7,15,6,28,3
img_07_425390900,4,17,4,25,3
img_02_4406772100,2,15,4,21,3
img_07_4406743300,2,15,4,21,3
img_06_4406645900,5,12,3,20,3
img_03_425501800,3,12,4,19,3
img_03_SIS001540,2,11,6,19,3
img_06_425502300,1,15,3,19,3
img_06_425614600,5,10,4,19,3
img_06_4406743300,1,14,4,19,3
img_01_425008500,1,13,4,18,3
img_03_436152900,3,13,2,18,3
img_06_3436814000,1,12,3,16,3
img_02_425507200,1,10,3,14,3
img_07_435974600,2,8,4,14,3
img_08_425391700,3,9,1,13,3
img_03_3402617700,1,10,1,12,3
img_06_425237000,1,6,5,12,3
img_03_424992300,1,6,4,11,3
img_04_436163100,1,9,1,11,3
img_06_424826800,1,7,3,11,3
img_01_425008000,2,6,2,10,3
img_02_3436786500,4,4,1,9,3
img_02_4406645900,2,4,3,9,3
img_06_425506300,1,7,1,9,3
img_03_425507000,1,6,1,8,3
img_04_4406743300,1,5,2,8,3
img_02_425646200,1,2,2,5,3
img_03_425503100,2,2,1,5,3
img_07_425508400,2,2,1,5,3
img_01_425243600,1,2,1,4,3
img_02_4403466100,1,1,2,4,3
img_02_4403466600,1,2,1,4,3
img_03_425644600,1,1,2,4,3
img_07_4405376800,1,2,1,4,3
img_01_425505100,1,1,1,3,3
img_02_425392000,1,1,1,3,3
img_02_425613800,1,1,1,3,3
img_02_4406562900,1,1,1,3,3
img_03_425502900,1,1,1,3,3
img_03_424992500,0,11,6,17,2
img_07_3436814000,0,8,7,15,2
img_03_436184600,2,12,0,14,2
img_03_4406645900,2,9,0,11,2
img_04_4402622500,0,9,2,11,2
img_08_425506100,0,10,1,11,2
img_08_425508200,0,9,2,11,2
img_02_425507000,0,5,5,10,2
img_05_4406645900,0,6,4,10,2
img_01_425007600,1,8,0,9,2
img_02_SIS001522,0,7,2,9,2
img_03_436150300,1,8,0,9,2
img_04_4406645900,0,7,2,9,2
img_02_436152900,0,5,3,8,2
img_04_SIS001577,0,6,2,8,2
img_07_4404374100,1,7,0,8,2
img_01_4403565100,0,5,2,7,2
img_05_425243500,0,4,3,7,2
img_07_3437011100,1,6,0,7,2
img_07_424826800,0,5,2,7,2
img_07_436164700,0,6,1,7,2
