原始图像路径,当前图像路径,数据划分,类别名称,该图标注框数量,问题类型,人工复核结论,带框证据图路径,处理建议,备注
,D:\project_root\data\processed\images\all\img_03_4405964900_00010.jpg,val,8_yahen,2,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_00_img_03_4405964900_00010.jpg,,
,D:\project_root\data\processed\images\all\img_02_436068400_00001.jpg,train,8_yahen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_01_img_02_436068400_00001.jpg,,
,D:\project_root\data\processed\images\all\img_01_4402818600_00001.jpg,train,8_yahen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_02_img_01_4402818600_00001.jpg,,
,D:\project_root\data\processed\images\all\img_03_3437006900_00002.jpg,train,8_yahen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_03_img_03_3437006900_00002.jpg,,
,D:\project_root\data\processed\images\all\img_03_3403402800_00951.jpg,val,8_yahen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_04_img_03_3403402800_00951.jpg,,
,D:\project_root\data\processed\images\all\img_03_3402564500_00001.jpg,train,8_yahen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_05_img_03_3402564500_00001.jpg,,
,D:\project_root\data\processed\images\all\img_02_4402116500_00005.jpg,val,8_yahen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_06_img_02_4402116500_00005.jpg,,
,D:\project_root\data\processed\images\all\img_02_431854300_00002.jpg,val,8_yahen,6,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\8_yahen_07_img_02_431854300_00002.jpg,,
,D:\project_root\data\processed\images\all\img_07_430103100_01150.jpg,train,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_00_img_07_430103100_01150.jpg,,
,D:\project_root\data\processed\images\all\img_07_4405381400_00773.jpg,train,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_01_img_07_4405381400_00773.jpg,,
,D:\project_root\data\processed\images\all\img_06_427199900_01016.jpg,train,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_02_img_06_427199900_01016.jpg,,
,D:\project_root\data\processed\images\all\img_01_4402117100_00006.jpg,train,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_03_img_01_4402117100_00006.jpg,,
,D:\project_root\data\processed\images\all\img_06_430103100_01150.jpg,train,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_04_img_06_430103100_01150.jpg,,
,D:\project_root\data\processed\images\all\img_05_4403831800_00930.jpg,val,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_05_img_05_4403831800_00930.jpg,,
,D:\project_root\data\processed\images\all\img_01_425501700_00022.jpg,train,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_06_img_01_425501700_00022.jpg,,
,D:\project_root\data\processed\images\all\img_01_425382900_00002.jpg,val,9_zhehen,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\9_zhehen_07_img_01_425382900_00002.jpg,,
,D:\project_root\data\processed\images\all\img_06_3436814000_00679.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_00_img_06_3436814000_00679.jpg,,
,D:\project_root\data\processed\images\all\img_06_425614600_00423.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_01_img_06_425614600_00423.jpg,,
,D:\project_root\data\processed\images\all\img_06_425614600_00431.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_02_img_06_425614600_00431.jpg,,
,D:\project_root\data\processed\images\all\img_07_4405133600_00039.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_03_img_07_4405133600_00039.jpg,,
,D:\project_root\data\processed\images\all\img_03_4404374100_01295.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_04_img_03_4404374100_01295.jpg,,
,D:\project_root\data\processed\images\all\img_06_425614600_00415.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_05_img_06_425614600_00415.jpg,,
,D:\project_root\data\processed\images\all\img_08_4402719200_00026.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_06_img_08_4402719200_00026.jpg,,
,D:\project_root\data\processed\images\all\img_07_436164700_01537.jpg,train,10_yaozhe,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\10_yaozhe_07_img_07_436164700_01537.jpg,,
,D:\project_root\data\processed\images\all\img_02_425644600_00001.jpg,train,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_00_img_02_425644600_00001.jpg,,
,D:\project_root\data\processed\images\all\img_05_4406743300_00417.jpg,train,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_01_img_05_4406743300_00417.jpg,,
,D:\project_root\data\processed\images\all\img_07_4406645900_00649.jpg,val,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_02_img_07_4406645900_00649.jpg,,
,D:\project_root\data\processed\images\all\img_02_4406645900_00346.jpg,test,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_03_img_02_4406645900_00346.jpg,,
,D:\project_root\data\processed\images\all\img_01_425005700_00156.jpg,train,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_04_img_01_425005700_00156.jpg,,
,D:\project_root\data\processed\images\all\img_01_4406743300_00019.jpg,val,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_05_img_01_4406743300_00019.jpg,,
,D:\project_root\data\processed\images\all\img_08_4406743300_00446.jpg,test,6_siban,1,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_06_img_08_4406743300_00446.jpg,,
,D:\project_root\data\processed\images\all\img_04_SIS001577_00012.jpg,train,6_siban,2,疑似错标抽检,,D:\project_root\figures\audit_examples\suspect_labels\6_siban_07_img_04_SIS001577_00012.jpg,,
