image_path,image_width,image_height,class_name,class_id,xmin,ymin,xmax,ymax,source_annotation,is_valid_raw,image_filename,xml_file,bbox_w,bbox_h,min_side,bbox_area,image_area,bbox_area_ratio
D:\project_root\data\raw\archive\3\img_01_3402617700_00001.jpg,2048,1000,3_yueyawan,3,1738,806,1948,993,voc_xml,True,img_01_3402617700_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_3402617700_00001.xml,210,187,187,39270,2048000,0.0191748046875
D:\project_root\data\raw\archive\3\img_01_3402617700_01009.jpg,2048,1000,3_yueyawan,3,1756,298,1967,858,voc_xml,True,img_01_3402617700_01009.jpg,D:\project_root\data\raw\archive\lable\img_01_3402617700_01009.xml,211,560,211,118160,2048000,0.0576953125
D:\project_root\data\raw\archive\9\img_01_3436789500_00004.jpg,2048,1000,9_zhehen,9,981,182,2046,249,voc_xml,True,img_01_3436789500_00004.jpg,D:\project_root\data\raw\archive\lable\img_01_3436789500_00004.xml,1065,67,67,71355,2048000,0.03484130859375
D:\project_root\data\raw\archive\9\img_01_3436789500_00004.jpg,2048,1000,9_zhehen,9,478,179,711,244,voc_xml,True,img_01_3436789500_00004.jpg,D:\project_root\data\raw\archive\lable\img_01_3436789500_00004.xml,233,65,65,15145,2048000,0.00739501953125
D:\project_root\data\raw\archive\6\img_01_3436814600_00259.jpg,2048,1000,6_siban,6,746,17,1011,993,voc_xml,True,img_01_3436814600_00259.jpg,D:\project_root\data\raw\archive\lable\img_01_3436814600_00259.xml,265,976,265,258640,2048000,0.1262890625
D:\project_root\data\raw\archive\6\img_01_3436815300_00473.jpg,2048,1000,6_siban,6,814,17,1522,978,voc_xml,True,img_01_3436815300_00473.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00473.xml,708,961,708,680388,2048000,0.332220703125
D:\project_root\data\raw\archive\6\img_01_3436815300_00477.jpg,2048,1000,6_siban,6,788,13,1367,984,voc_xml,True,img_01_3436815300_00477.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00477.xml,579,971,579,562209,2048000,0.27451611328125
D:\project_root\data\raw\archive\6\img_01_3436815300_00478.jpg,2048,1000,6_siban,6,786,16,1375,984,voc_xml,True,img_01_3436815300_00478.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00478.xml,589,968,589,570152,2048000,0.27839453125
D:\project_root\data\raw\archive\6\img_01_3437011300_00918.jpg,2048,1000,6_siban,6,1315,1,1808,963,voc_xml,True,img_01_3437011300_00918.jpg,D:\project_root\data\raw\archive\lable\img_01_3437011300_00918.xml,493,962,493,474266,2048000,0.2315751953125
D:\project_root\data\raw\archive\3\img_01_424799300_01133.jpg,2048,1000,3_yueyawan,3,1696,484,1911,1000,voc_xml,True,img_01_424799300_01133.jpg,D:\project_root\data\raw\archive\lable\img_01_424799300_01133.xml,215,516,215,110940,2048000,0.054169921875
