image_path,image_width,image_height,class_name,class_id,xmin,ymin,xmax,ymax,source_annotation,is_valid_raw,image_filename,xml_file
D:\project_root\data\raw\archive\10\img_02_3402618000_00007.jpg,2048,1000,10_yaozhed,1,300,225,1974,948,voc_xml,True,img_02_3402618000_00007.jpg,D:\project_root\data\raw\archive\lable\img_02_3402618000_00007.xml
D:\project_root\data\raw\archive\10\img_02_3402618000_00010.jpg,2048,1000,10_yaozhed,1,99,186,971,937,voc_xml,True,img_02_3402618000_00010.jpg,D:\project_root\data\raw\archive\lable\img_02_3402618000_00010.xml
D:\project_root\data\raw\archive\10\img_02_4404612700_00054.jpg,2048,1000,10_yaozhed,1,482,232,1859,950,voc_xml,True,img_02_4404612700_00054.jpg,D:\project_root\data\raw\archive\lable\img_02_4404612700_00054.xml
D:\project_root\data\raw\archive\10\img_03_3402618000_00007.jpg,2048,1000,10_yaozhed,1,200,145,1958,973,voc_xml,True,img_03_3402618000_00007.jpg,D:\project_root\data\raw\archive\lable\img_03_3402618000_00007.xml
D:\project_root\data\raw\archive\10\img_03_3402618000_00013.jpg,2048,1000,10_yaozhed,1,325,134,2020,916,voc_xml,True,img_03_3402618000_00013.jpg,D:\project_root\data\raw\archive\lable\img_03_3402618000_00013.xml
D:\project_root\data\raw\archive\10\img_03_4404374100_01295.jpg,2048,1000,10_yaozhed,1,74,91,1426,927,voc_xml,True,img_03_4404374100_01295.jpg,D:\project_root\data\raw\archive\lable\img_03_4404374100_01295.xml
D:\project_root\data\raw\archive\10\img_03_4404374300_00045.jpg,2048,1000,10_yaozhed,1,295,129,1610,952,voc_xml,True,img_03_4404374300_00045.jpg,D:\project_root\data\raw\archive\lable\img_03_4404374300_00045.xml
D:\project_root\data\raw\archive\10\img_03_4404612700_00049.jpg,2048,1000,10_yaozhed,1,148,37,1890,970,voc_xml,True,img_03_4404612700_00049.jpg,D:\project_root\data\raw\archive\lable\img_03_4404612700_00049.xml
D:\project_root\data\raw\archive\10\img_05_436164700_01553.jpg,2048,1000,10_yaozhed,1,1587,76,2030,957,voc_xml,True,img_05_436164700_01553.jpg,D:\project_root\data\raw\archive\lable\img_05_436164700_01553.xml
D:\project_root\data\raw\archive\10\img_05_4402719200_00029.jpg,2048,1000,10_yaozhed,1,1302,96,1951,937,voc_xml,True,img_05_4402719200_00029.jpg,D:\project_root\data\raw\archive\lable\img_05_4402719200_00029.xml
D:\project_root\data\raw\archive\10\img_06_3436639700_00756.jpg,2048,1000,10_yaozhed,1,1453,134,1958,827,voc_xml,True,img_06_3436639700_00756.jpg,D:\project_root\data\raw\archive\lable\img_06_3436639700_00756.xml
D:\project_root\data\raw\archive\10\img_06_3436639700_00760.jpg,2048,1000,10_yaozhed,1,161,122,1981,853,voc_xml,True,img_06_3436639700_00760.jpg,D:\project_root\data\raw\archive\lable\img_06_3436639700_00760.xml
D:\project_root\data\raw\archive\10\img_06_3436786500_00002.jpg,2048,1000,10_yaozhed,1,1184,101,2022,835,voc_xml,True,img_06_3436786500_00002.jpg,D:\project_root\data\raw\archive\lable\img_06_3436786500_00002.xml
D:\project_root\data\raw\archive\10\img_06_3436786500_00565.jpg,2048,1000,10_yaozhed,1,1072,81,2010,801,voc_xml,True,img_06_3436786500_00565.jpg,D:\project_root\data\raw\archive\lable\img_06_3436786500_00565.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00005.jpg,2048,1000,10_yaozhed,1,89,68,1879,919,voc_xml,True,img_06_3436814000_00005.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00005.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00006.jpg,2048,1000,10_yaozhed,1,92,111,1966,796,voc_xml,True,img_06_3436814000_00006.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00006.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00007.jpg,2048,1000,10_yaozhed,1,126,58,1603,853,voc_xml,True,img_06_3436814000_00007.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00007.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00008.jpg,2048,1000,10_yaozhed,1,48,47,1595,916,voc_xml,True,img_06_3436814000_00008.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00008.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00009.jpg,2048,1000,10_yaozhed,1,248,99,1638,863,voc_xml,True,img_06_3436814000_00009.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00009.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00011.jpg,2048,1000,10_yaozhed,1,76,58,1872,737,voc_xml,True,img_06_3436814000_00011.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00011.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00691.jpg,2048,1000,10_yaozhed,1,177,42,1789,907,voc_xml,True,img_06_3436814000_00691.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00691.xml
D:\project_root\data\raw\archive\10\img_06_3436814000_00693.jpg,2048,1000,10_yaozhed,1,212,53,1841,991,voc_xml,True,img_06_3436814000_00693.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00693.xml
D:\project_root\data\raw\archive\10\img_06_3436814600_00007.jpg,2048,1000,10_yaozhed,1,1371,121,2017,825,voc_xml,True,img_06_3436814600_00007.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814600_00007.xml
D:\project_root\data\raw\archive\10\img_06_3437011100_01183.jpg,2048,1000,10_yaozhed,1,1,73,984,719,voc_xml,True,img_06_3437011100_01183.jpg,D:\project_root\data\raw\archive\lable\img_06_3437011100_01183.xml
D:\project_root\data\raw\archive\10\img_06_424826800_00488.jpg,2048,1000,10_yaozhed,1,241,55,1172,971,voc_xml,True,img_06_424826800_00488.jpg,D:\project_root\data\raw\archive\lable\img_06_424826800_00488.xml
D:\project_root\data\raw\archive\10\img_06_424826800_00490.jpg,2048,1000,10_yaozhed,1,310,107,961,893,voc_xml,True,img_06_424826800_00490.jpg,D:\project_root\data\raw\archive\lable\img_06_424826800_00490.xml
D:\project_root\data\raw\archive\10\img_06_424826800_00492.jpg,2048,1000,10_yaozhed,1,462,48,1168,878,voc_xml,True,img_06_424826800_00492.jpg,D:\project_root\data\raw\archive\lable\img_06_424826800_00492.xml
D:\project_root\data\raw\archive\10\img_06_424826800_00493.jpg,2048,1000,10_yaozhed,1,499,44,1126,966,voc_xml,True,img_06_424826800_00493.jpg,D:\project_root\data\raw\archive\lable\img_06_424826800_00493.xml
D:\project_root\data\raw\archive\10\img_06_424826800_00494.jpg,2048,1000,10_yaozhed,1,494,60,1152,1000,voc_xml,True,img_06_424826800_00494.jpg,D:\project_root\data\raw\archive\lable\img_06_424826800_00494.xml
