image_path,image_width,image_height,class_name,class_id,xmin,ymin,xmax,ymax,source_annotation,is_valid_raw,image_filename,xml_file,bbox_w,bbox_h,min_side,bbox_area,image_area,bbox_area_ratio,orig_image_width,orig_image_height,square_size,pad_left,pad_top,pad_right,pad_bottom,is_valid_squared
D:\project_root\data\processed\images\all\img_01_3402617700_00001.jpg,2048,2048,3_yueyawan,3,1738,1330,1948,1517,voc_xml,True,img_01_3402617700_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_3402617700_00001.xml,210,187,187,39270,2048000,0.0191748046875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3402617700_01009.jpg,2048,2048,3_yueyawan,3,1756,822,1967,1382,voc_xml,True,img_01_3402617700_01009.jpg,D:\project_root\data\raw\archive\lable\img_01_3402617700_01009.xml,211,560,211,118160,2048000,0.0576953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3436789500_00004.jpg,2048,2048,9_zhehen,9,981,706,2046,773,voc_xml,True,img_01_3436789500_00004.jpg,D:\project_root\data\raw\archive\lable\img_01_3436789500_00004.xml,1065,67,67,71355,2048000,0.03484130859375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3436789500_00004.jpg,2048,2048,9_zhehen,9,478,703,711,768,voc_xml,True,img_01_3436789500_00004.jpg,D:\project_root\data\raw\archive\lable\img_01_3436789500_00004.xml,233,65,65,15145,2048000,0.00739501953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3436814600_00259.jpg,2048,2048,6_siban,6,746,541,1011,1517,voc_xml,True,img_01_3436814600_00259.jpg,D:\project_root\data\raw\archive\lable\img_01_3436814600_00259.xml,265,976,265,258640,2048000,0.1262890625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3436815300_00473.jpg,2048,2048,6_siban,6,814,541,1522,1502,voc_xml,True,img_01_3436815300_00473.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00473.xml,708,961,708,680388,2048000,0.332220703125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3436815300_00477.jpg,2048,2048,6_siban,6,788,537,1367,1508,voc_xml,True,img_01_3436815300_00477.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00477.xml,579,971,579,562209,2048000,0.27451611328125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3436815300_00478.jpg,2048,2048,6_siban,6,786,540,1375,1508,voc_xml,True,img_01_3436815300_00478.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00478.xml,589,968,589,570152,2048000,0.27839453125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_3437011300_00918.jpg,2048,2048,6_siban,6,1315,525,1808,1487,voc_xml,True,img_01_3437011300_00918.jpg,D:\project_root\data\raw\archive\lable\img_01_3437011300_00918.xml,493,962,493,474266,2048000,0.2315751953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424799300_01133.jpg,2048,2048,3_yueyawan,3,1696,1008,1911,1524,voc_xml,True,img_01_424799300_01133.jpg,D:\project_root\data\raw\archive\lable\img_01_424799300_01133.xml,215,516,215,110940,2048000,0.054169921875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424799600_00001.jpg,2048,2048,3_yueyawan,3,1688,525,1904,864,voc_xml,True,img_01_424799600_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_424799600_00001.xml,216,339,216,73224,2048000,0.03575390625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424799600_00002.jpg,2048,2048,3_yueyawan,3,1667,1305,1888,1524,voc_xml,True,img_01_424799600_00002.jpg,D:\project_root\data\raw\archive\lable\img_01_424799600_00002.xml,221,219,219,48399,2048000,0.02363232421875,2048,1000,2048,0,524,0,524,True
