image_path,image_width,image_height,class_name,class_id,xmin,ymin,xmax,ymax,source_annotation,is_valid_raw,image_filename,xml_file
D:\project_root\data\raw\archive\3\img_01_3402617700_00001.jpg,2048,1000,3_yueyawan,4,1738,806,1948,993,voc_xml,True,img_01_3402617700_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_3402617700_00001.xml
D:\project_root\data\raw\archive\3\img_01_3402617700_01009.jpg,2048,1000,3_yueyawan,4,1756,298,1967,858,voc_xml,True,img_01_3402617700_01009.jpg,D:\project_root\data\raw\archive\lable\img_01_3402617700_01009.xml
D:\project_root\data\raw\archive\9\img_01_3436789500_00004.jpg,2048,1000,9_zhehen,10,981,182,2046,249,voc_xml,True,img_01_3436789500_00004.jpg,D:\project_root\data\raw\archive\lable\img_01_3436789500_00004.xml
D:\project_root\data\raw\archive\9\img_01_3436789500_00004.jpg,2048,1000,9_zhehen,10,478,179,711,244,voc_xml,True,img_01_3436789500_00004.jpg,D:\project_root\data\raw\archive\lable\img_01_3436789500_00004.xml
D:\project_root\data\raw\archive\6\img_01_3436814600_00259.jpg,2048,1000,6_siban,7,746,17,1011,993,voc_xml,True,img_01_3436814600_00259.jpg,D:\project_root\data\raw\archive\lable\img_01_3436814600_00259.xml
D:\project_root\data\raw\archive\6\img_01_3436815300_00473.jpg,2048,1000,6_siban,7,814,17,1522,978,voc_xml,True,img_01_3436815300_00473.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00473.xml
D:\project_root\data\raw\archive\6\img_01_3436815300_00477.jpg,2048,1000,6_siban,7,788,13,1367,984,voc_xml,True,img_01_3436815300_00477.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00477.xml
D:\project_root\data\raw\archive\6\img_01_3436815300_00478.jpg,2048,1000,6_siban,7,786,16,1375,984,voc_xml,True,img_01_3436815300_00478.jpg,D:\project_root\data\raw\archive\lable\img_01_3436815300_00478.xml
D:\project_root\data\raw\archive\6\img_01_3437011300_00918.jpg,2048,1000,6_siban,7,1315,1,1808,963,voc_xml,True,img_01_3437011300_00918.jpg,D:\project_root\data\raw\archive\lable\img_01_3437011300_00918.xml
D:\project_root\data\raw\archive\3\img_01_424799300_01133.jpg,2048,1000,3_yueyawan,4,1696,484,1911,1000,voc_xml,True,img_01_424799300_01133.jpg,D:\project_root\data\raw\archive\lable\img_01_424799300_01133.xml
D:\project_root\data\raw\archive\3\img_01_424799600_00001.jpg,2048,1000,3_yueyawan,4,1688,1,1904,340,voc_xml,True,img_01_424799600_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_424799600_00001.xml
